idade,iaa,ieg,ips,ipp,ida,mat,por,ing,ipv,media_notas,min_nota,max_nota,std_notas,anos_no_programa,media_indicadores,ratio_ida_ieg,ratio_ipv_ips,genero,instituicao,target
22,,0.0,,,,,,,,,,,,2,0.0,,,Masculino,Privada - Pagamento por *Empresa Parceira,0
10,8.502,10.0,7.51,8.958333333,7.5,6.0,9.0,,8.783333333,7.5,6.0,9.0,2.1213203435596424,0,8.4590666666,0.7499250074992501,1.1693959969378245,Feminino,Pública,0
13,10.002,9.5652173915,6.26,7.708333333,8.25,7.0,9.5,,7.833333333,8.25,7.0,9.5,1.7677669529663689,0,8.3821101449,0.862409838953742,1.2511313421178725,Feminino,Pública,1
10,9.002,9.544513457499999,7.51,8.75,4.5,9.0,0.0,,8.17,4.5,0.0,9.0,6.363961030678928,0,7.745302691499999,0.4714256619128548,1.0877379842897084,Feminino,Pública,1
11,8.002,8.010869565,7.51,6.40625,5.0,5.0,5.0,,6.2875,5.0,5.0,5.0,0.0,0,6.962073913,0.6240740640415057,0.8371055784848888,Masculino,Pública,0
8,8.502,10.0,7.51,8.75,10.0,10.0,10.0,,9.425,10.0,10.0,10.0,0.0,0,9.087399999999999,0.9999000099990002,1.254826254826255,Feminino,Pública,0
9,10.002,9.5454545455,6.26,7.5,8.5,10.0,7.0,,8.336666667,8.5,7.0,10.0,2.1213203435596424,0,8.528824242499999,0.8903829122620945,1.3315231859127934,Masculino,Pública,1
15,0.0,3.9057239053333332,7.51,7.5,2.0,0.0,6.0,0.0,6.832,2.0,0.0,6.0,3.4641016151377544,0,4.0495447810666665,0.5119378918150997,0.9095992544268406,Masculino,Pública,1
12,8.334,9.133333333333333,7.51,8.125,8.5,10.0,8.0,7.5,7.335,8.5,7.5,10.0,1.3228756555322954,1,8.162466666666667,0.9305550487172939,0.9765677007056317,Feminino,Pública,0
11,10.002,8.8095238095,7.51,7.96875,6.0,6.0,6.0,,7.7525,6.0,6.0,6.0,0.0,0,8.014804761899999,0.6810037779513705,1.03215284249767,Feminino,Pública,1
15,9.168,9.665831245,7.51,8.125,5.833333333333333,6.0,7.5,4.0,8.2,5.833333333333333,4.0,7.5,1.755942292142123,1,8.075432915666667,0.6034380021220008,1.0917321262148847,Masculino,Pública,0
8,9.502,10.0,8.13,8.75,9.5,10.0,9.0,,7.5,9.5,9.0,10.0,0.7071067811865476,0,8.926400000000001,0.9499050094990501,0.9223957692780715,Feminino,Pública,0
10,9.002,9.544513457499999,8.135,8.75,8.25,9.0,7.5,,8.755,8.25,7.5,9.0,1.0606601717798212,3,8.7373026915,0.8642803801735671,1.0760816125860375,Feminino,Pública,0
9,9.002,5.625,7.51,7.5,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0,5.8274,0.0,0.9319664492078285,Masculino,Pública,1
8,7.918,8.697368421,2.51,5.9375,2.75,1.0,4.5,,6.156666667,2.75,1.0,4.5,2.4748737341529163,1,5.6064070176,0.3161512443369062,2.4518784018319395,Feminino,Pública,1
17,8.334,7.908496732000001,7.51,7.5,6.333333333333333,5.0,7.0,7.0,6.83,6.333333333333333,5.0,7.0,1.1547005383792517,0,7.383166013066666,0.8007251975603108,0.9093329782984956,Masculino,Pública,1
17,7.5,7.337719298333333,5.63,7.8125,5.166666666666667,0.0,7.5,8.0,7.443333333,5.166666666666667,0.0,8.0,4.481443219916251,2,6.6155438596,0.7040283810609907,1.3218492866275973,Feminino,Pública,1
14,8.751,7.9726867336666665,7.505,7.34375,5.833333333333333,4.5,8.0,5.0,7.14,5.833333333333333,4.5,8.0,1.8929694486000912,0,7.4404040134,0.7315729258215915,0.9512390087929655,Masculino,Pública,1
11,10.002,8.831746031666666,8.135,9.0625,7.666666666666667,9.0,5.5,8.5,8.545,7.666666666666667,5.5,9.0,1.8929694486000912,3,8.636082539666667,0.8679822378205558,1.0502704031465093,Masculino,Privada,0
22,,0.0,,,,,,,,,,,,3,0.0,,,Masculino,Bolsista Universitário *Formado (a),0
20,,0.0,,,,,,,,,,,,3,0.0,,,Masculino,Privada,0
8,9.502,8.784461152999999,4.385,7.1875,8.0,10.0,6.0,,7.5,8.0,6.0,10.0,2.8284271247461903,0,7.634292230599999,0.9105953416307823,1.7099863201094392,Masculino,Pública,0
11,0.0,6.7794117645,7.51,7.5,4.25,8.5,0.0,,5.84,4.25,0.0,8.5,6.010407640085654,0,4.8758823529,0.6268055905176141,0.7775262947676741,Feminino,Pública,0
22,,0.0,,,,,,,,,,,,3,0.0,,,Masculino,Bolsista Universitário *Formado (a),0
10,9.002,7.3221343875,5.63,5.625,6.0,5.0,7.0,,5.106666667,6.0,5.0,7.0,1.4142135623730951,2,6.612160210900001,0.8193213018515016,0.9068845084354465,Masculino,Pública,1
12,8.334,7.5029927763333335,8.13,6.40625,7.0,8.0,5.5,7.5,6.21,7.0,5.5,8.0,1.3228756555322954,3,7.4353985552666675,0.9328367188834636,0.7637436969622432,Feminino,Pública,0
15,10.002,6.128654970666666,5.01,6.875,5.666666666666667,3.5,5.5,8.0,7.54,5.666666666666667,3.5,8.0,2.254624876411447,0,6.869464327466668,0.9244674771719419,1.5046896826980642,Feminino,Pública,1
18,10.002,8.980785296666667,8.135,8.4375,8.166666666666666,8.0,6.5,10.0,8.283333333,8.166666666666666,6.5,10.0,1.7559422921421233,3,8.713557059266666,0.9092475935377226,1.018108816740413,Feminino,Privada - Programa de Apadrinhamento,0
10,9.502,9.0227272725,7.51,8.4375,7.0,6.5,7.5,,7.92,7.0,6.5,7.5,0.7071067811865476,1,8.1909454545,0.7757326644093787,1.0544534682465716,Masculino,Pública,1
18,,0.0,,,,,,,,,,,,2,0.0,,,Feminino,Privada *Parcerias com Bolsa 100%,0
17,8.334,9.0,6.885,7.5,6.066666666666666,6.0,6.2,6.0,7.5,6.066666666666666,6.0,6.2,0.11547005383792526,3,7.557133333333335,0.6739991852757101,1.0891664246296835,Feminino,Privada *Parcerias com Bolsa 100%,0
12,9.502,8.5416666665,7.51,7.5,8.25,8.0,8.5,,7.273333333,8.25,8.0,8.5,0.3535533905932738,1,8.2153999999,0.9657405962417228,0.9683575200372786,Masculino,Pública,1
12,10.002,8.095238095,5.005,7.083333333,2.25,4.5,0.0,,5.335,2.25,0.0,4.5,3.181980515339464,2,6.1374476190000005,0.27790684680945027,1.0657211346384339,Feminino,Pública,1
12,6.834,3.5064935065,7.51,5.0,4.75,4.0,5.5,,2.943333333,4.75,4.0,5.5,1.0606601717798212,2,5.1087653679,1.3542434194667554,0.39186970217015044,Masculino,Pública,1
15,8.751,7.223245614,8.76,7.5,4.0,3.0,6.5,2.5,7.665,4.0,2.5,6.5,2.179449471770337,2,7.2798491228,0.553691030693686,0.8749001255564434,Masculino,Pública,1
13,8.751,9.540744978333334,7.51,9.0625,6.666666666666667,5.0,6.0,9.0,8.572,6.666666666666667,5.0,9.0,2.0816659994661326,3,8.208082328999998,0.698684221995539,1.1412594860870722,Masculino,Pública,0
15,9.168,4.305555555666667,9.38,7.5,4.666666666666667,5.0,4.5,4.5,6.7075,4.666666666666667,4.5,5.0,0.28867513459481287,0,6.845544444466666,1.083619288395376,0.7150090608677113,Masculino,Pública,1
13,8.502,9.4444444445,7.51,8.75,4.75,6.0,3.5,,8.223333333,4.75,3.5,6.0,1.7677669529663689,0,7.6859555555,0.5028879295103879,1.094838681001198,Masculino,Pública,1
27,,0.0,,,,,,,,,,,,3,0.0,,,Masculino,Privada,0
11,9.502,9.068181818,7.51,8.541666667,9.5,9.0,10.0,,8.73,9.5,9.0,10.0,0.7071067811865476,1,8.862036363600001,1.0475035334659337,1.1622953002263348,Masculino,Pública,0
12,9.168,9.866666666666667,2.51,9.375,9.666666666666666,10.0,9.0,10.0,9.45,9.666666666666666,9.0,10.0,0.5773502691896257,3,8.132266666666666,0.9796304428605208,3.763440860215054,Masculino,Privada - Programa de Apadrinhamento,0
10,9.002,8.181818182,6.26,7.5,6.5,7.0,6.0,,6.723333333,6.5,6.0,7.0,0.7071067811865476,1,7.333430303,0.7943473575275389,1.0738433689506468,Feminino,Pública,1
11,6.918,9.555335968,7.51,8.125,8.0,8.0,8.0,,8.616666667,8.0,8.0,8.0,0.0,0,8.120000526999998,0.8371409321301083,1.1472063196644922,Feminino,Pública,1
9,9.002,9.7916666665,6.26,6.875,6.5,5.5,7.5,,6.99,6.5,5.5,7.5,1.4142135623730951,0,7.7087333333000005,0.6637619987858903,1.1164350742692861,Masculino,Pública,1
8,8.502,9.7727272725,7.51,8.125,6.5,6.5,6.5,,8.085,6.5,6.5,6.5,0.0,1,8.0739454545,0.6650482276386847,1.076421248835042,Masculino,Pública,0
7,9.002,9.3333333335,7.51,7.8125,7.5,10.0,5.0,,7.325,7.5,5.0,10.0,3.5355339059327378,0,8.1340666667,0.8034853408419904,0.9752363200639063,Feminino,Pública,0
14,9.585,8.716666666666667,7.51,7.625,5.666666666666667,6.0,3.5,7.5,7.698,5.666666666666667,3.5,7.5,2.0207259421636903,1,7.835266666666667,0.6500210300921501,1.0248968180002662,Feminino,Pública,1
14,9.168,9.855072463666666,7.51,8.125,9.333333333333334,9.0,9.0,10.0,7.946666667,9.333333333333334,9.0,10.0,0.5773502691896257,3,8.762614492800001,0.946962734673436,1.0580038166688857,Masculino,Privada - Programa de Apadrinhamento,0
19,,0.0,,,,,,,,,,,,2,0.0,,,Masculino,Privada - Pagamento por *Empresa Parceira,0
13,9.585,5.404288499000001,9.38,7.96875,4.666666666666667,0.0,5.0,9.0,7.5475,4.666666666666667,0.0,9.0,4.509249752822894,0,7.316691033133334,0.8633520056385553,0.8045517535443982,Feminino,Privada,0
14,8.334,5.618045113,5.0,7.708333333,5.833333333333333,4.0,6.0,7.5,6.993333333,5.833333333333333,4.0,7.5,1.755942292142123,3,6.355742355866666,1.0381360562202222,1.3983869892021594,Feminino,Pública,1
13,7.002,8.695652174,4.375,7.03125,5.25,5.0,5.5,,5.8325,5.25,5.0,5.5,0.3535533905932738,3,6.231030434799999,0.6036805767276396,1.3328382084095063,Feminino,Pública,1
13,9.585,9.02791197,8.135,5.375,4.0,4.0,4.0,4.0,4.705,4.0,4.0,4.0,0.0,1,7.090582393999999,0.4430212647205597,0.5782940019665684,Masculino,Pública,0
11,8.002,10.0,7.51,8.4375,10.0,10.0,10.0,,8.783333333,10.0,10.0,10.0,0.0,1,8.8590666666,0.9999000099990002,1.1693959969378245,Feminino,Pública,1
13,7.5,7.155537064000001,5.635,8.0,8.166666666666666,8.0,7.0,9.5,7.668,8.166666666666666,7.0,9.5,1.2583057392117918,3,7.225040746133333,1.1411478196274545,1.360539389638041,Feminino,Pública,0
8,9.502,9.0,7.51,8.4375,7.5,8.5,6.5,,8.165,7.5,6.5,8.5,1.4142135623730951,0,8.3354,0.8332407510276636,1.0870722939688455,Feminino,Pública,0
13,9.168,10.0,8.75,8.125,3.75,2.0,5.5,,8.1275,3.75,2.0,5.5,2.4748737341529163,0,7.959099999999999,0.37496250374962503,0.9287509998857274,Feminino,Pública,0
22,,0.0,,,,,,,,,,,,3,0.0,,,Masculino,Privada,0
12,9.002,9.3073593075,5.635,6.875,2.25,4.5,0.0,,6.6225,2.25,0.0,4.5,3.181980515339464,1,6.5633718615,0.24171821538808816,1.1750354861603973,Masculino,Pública,1
24,,0.0,,,,,,,,,,,,3,0.0,,,Feminino,Bolsista Universitário *Formado (a),0
7,7.418,8.541666667,7.51,7.5,9.0,8.0,10.0,,7.443333333,9.0,8.0,10.0,1.4142135623730951,0,7.9826,1.0535351958383983,0.9909909909466116,Feminino,Pública,0
10,8.502,9.2857142855,7.51,9.166666667,8.25,8.5,8.0,,8.335,8.25,8.0,8.5,0.3535533905932738,1,8.3765428571,0.8883658683116058,1.1097057648781787,Masculino,Pública,1
12,0.0,5.0227272725,7.51,6.875,2.0,4.0,0.0,,6.996666667,2.0,0.0,4.0,2.8284271247461903,0,4.3058787879,0.39811078339145645,0.9315226557049661,Feminino,Pública,0
15,8.334,7.3999999999999995,6.885,6.458333333,4.0,3.5,2.5,6.0,7.05,4.0,2.5,6.0,1.8027756377319946,2,6.7338,0.5404675043912985,1.0238164391519025,Masculino,Pública,1
17,8.334,9.666666666666666,7.51,7.708333333,6.0,6.0,4.0,8.0,7.943333333,6.0,4.0,8.0,2.0,0,7.890799999933333,0.6206254525393925,1.057560023032885,Feminino,Pública,1
10,8.502,9.068322981,7.51,8.28125,8.75,8.0,9.5,,8.505,8.75,8.0,9.5,1.0606601717798212,0,8.4670645962,0.9647908689911063,1.1323392357875117,Feminino,Pública,1
10,10.002,9.5138888885,5.635,7.5,9.5,9.0,10.0,,7.946666667,9.5,9.0,10.0,0.7071067811865476,2,8.5195111111,0.9984352010123844,1.409983439850958,Feminino,Pública,0
15,8.751,9.737666667,6.26,7.5,6.166666666666667,6.0,6.5,6.0,7.5,6.166666666666667,6.0,6.5,0.28867513459481287,2,7.683066666733334,0.6332146768677023,1.1978917105893627,Masculino,Privada - Programa de Apadrinhamento,0
10,8.502,9.523809524,4.38,7.03125,6.0,7.0,5.0,,6.7075,6.0,5.0,7.0,1.4142135623730951,3,7.0226619048000005,0.6299338569324234,1.5310431408354255,Masculino,Pública,1
10,9.502,7.8571428569999995,6.26,7.1875,6.0,6.0,6.0,,6.54,6.0,6.0,6.0,0.0,1,7.2318285713999995,0.7635391859356726,1.0445615716339243,Masculino,Pública,0
17,8.334,9.666666666666666,7.51,7.75,6.5,7.0,6.0,,7.566,6.5,6.0,7.0,0.7071067811865476,0,7.915333333333334,0.6723442402510086,1.00732259352949,Feminino,Pública,1
